母线号,母线名,电压等级,经度,纬度,类型,包含母线
3,津海河,1050,117.2265032,38.993815,变电站,3
9,鲁高乡特,1050,119.032765,35.375263,变电站,9|49
15,鲁陵县,525,116.585443,37.346816,变电站,15
16,鲁惠民,525,118.11258,37.154973,变电站,16
17,鲁贝州,525,116.072618,37.211744,变电站,17
19,鲁柴府,525,116.24087,36.868384,变电站,19
20,鲁闻韶,525,117.005626,36.899933,变电站,20
23,鲁聊城南,525,115.676804,36.241868,变电站,23
24,鲁东阿,525,116.25622,36.337934,变电站,24
25,鲁长清,525,116.76644,36.560448,变电站,25
26,鲁蟠龙,525,117.27885,36.644586,变电站,26
27,鲁龙山,525,117.387355,36.742541,变电站,27
30,鲁枣庄市,525,117.238552,34.88164,变电站,30
31,鲁桂陵,525,115.186855,35.214418,变电站,31
32,鲁郓城,525,115.937923,35.58359,变电站,32
33,鲁岱宗,525,117.139985,35.984064,变电站,33
35,鲁淄川,525,117.982036,36.644972,变电站,35
36,鲁儒林,525,119.05115,36.408718,变电站,36
37,鲁新泰,525,117.765984,35.913452,变电站,37
41,鲁文亭,525,115.87882,34.957505,变电站,41
42,鲁金乡,525,116.316801,35.075642,变电站,42
44,鲁汶上,525,116.500263,35.719634,变电站,44
46,鲁峄城,525,117.595818,34.776466,变电站,46
48,鲁沂南特,1050,119.032765,35.375263,换流站,48
52,鲁莒南,525,118.830045,35.191432,变电站,52
54,鲁沂蒙,525,118.313828,35.680445,变电站,54
55,鲁沂南,525,118.480119,35.552105,换流站,55
57,鲁广固特,1050,118.623449,36.90184,换流站,57
59,鲁昌乐,525,118.729552,36.558929,变电站,59|10
60,鲁潍坊,525,119.15993,36.543198,变电站,60
61,鲁广固,525,118.471869,36.653581,换流站,61
63,鲁淄博,525,118.141964,36.861909,变电站,63
64,鲁益都,525,118.444118,36.778135,变电站,64
65,鲁管仲,525,117.898287,36.658596,变电站,65
66,鲁乔官,525,118.893379,36.572466,变电站,66
67,鲁临朐,525,118.543126,36.520288,变电站,67
68,鲁密州,525,119.520968,35.972779,变电站,68
71,鲁光州,525,119.956557,37.195151,变电站,71
73,鲁牟平,525,121.60367,37.390853,变电站,73
76,鲁大泽,525,119.933654,37.003106,变电站,76
77,鲁莱阳,525,120.726467,36.976101,变电站,77
79,鲁即墨,525,120.451809,36.408462,变电站,79
81,鲁胶东,525,120.097846,36.327093,换流站,81
82,鲁官亭,525,119.185084,36.856915,变电站,82
84,鲁滨州,525,117.890013,37.606474,变电站,84
85,鲁富国,525,118.116238,37.711859,变电站,85
86,鲁海口,525,118.993195,37.766624,变电站,86
88,鲁垦东,525,118.790692,37.734693,变电站,88
89,鲁油城,525,118.514441,37.459491,变电站,89
102,鲁邹县G,20,116.952279,35.330448,火电厂,102|2
104,冀石家庄,20,114.510314,37.0725,火电厂,
105,国驻马G,20,114.038664,33.015124,火电厂,
111,冀辛安G,20,114.535459,36.626124,火电厂,
112,鲁泉城G,20,117.193844,37.318318,火电厂,
114,鲁华德G,20,116.255629,37.448099,火电厂,
122,鲁聊厂G,20,115.859556,36.163816,火电厂,
128,国菏泽G,20,115.544963,35.252714,火电厂,
129,国枣庄G,20,117.577816,34.819358,火电厂,
139,鲁莱芜厂,20,117.696836,36.143796,火电厂,
140,鲁润泽G,20,115.702744,35.260959,火电厂,
143,鲁嘉祥G,20,116.348613,35.413255,火电厂,
145,鲁运河G,20,116.456966,35.503158,火电厂,
156,鲁蒙抽G,13,118.094653,35.430334,火电厂,
170,鲁莱州G,20,119.949747,37.188847,火电厂,
175,鲁抽蓄G,13,122.066155,37.193443,火电厂,
178,鲁海阳G,20,121.190235,36.695354,火电厂,178|78
183,冀黄骅G,20,117.102864,38.553726,火电厂,183|83
187,鲁东电G,20,118.921115,38.123135,火电厂,187|87
191,鲁博厂G,20,118.221632,37.195175,火电厂,191|91
193,鲁寿电G,20,118.892808,37.246774,火电厂,193|93
311,鲁德州发电,20,116.73087,37.647848,火电厂,311|18
312,鲁高青发电,20,117.833393,37.178418,火电厂,312|90
313,鲁济南发电,20,117.10286,36.722347,火电厂,
314,鲁巨峰发电,20,119.27269,35.297883,火电厂,314|51
315,鲁昆嵛发电,20,121.778395,37.228619,火电厂,315|74
316,鲁兰陵发电,20,118.075683,34.86717,火电厂,316|53
317,鲁琅琊发电,20,119.864726,35.694954,火电厂,
318,鲁崂山发电,20,120.676017,36.244679,火电厂,
319,鲁聊城发电,20,115.839262,36.491819,火电厂,
320,鲁临淄发电,20,118.31942,36.831138,火电厂,
321,鲁鲁中发电,20,117.862336,36.043943,火电厂,
322,鲁栖霞发电,20,120.848366,37.318692,火电厂,
323,鲁日照发电,20,119.502947,35.408484,火电厂,
324,鲁寿光发电,20,118.971758,36.997711,火电厂,
325,鲁泰山发电,20,117.094738,36.269893,火电厂,
